x,y
3.3702,3.0104
-2.31,-6.1135
-6.333,-0.055434
-0.44272,-2.4375
4.3117,3.8899
5.0878,-1.5909
3.8423,-2.0407
-0.85257,-4.1586
2.4983,-5.2984
-0.15378,-5.1571
3.1312,-0.42917
4.214,2.2395
3.2614,4.6125
-3.3857,-4.2971
5.5021,1.4091
4.2879,-2.2126
4.6609,-3.3803
4.4158,0.70578
1.5393,-3.6839
2.6019,-2.5229
3.5525,3.0354
-2.7498,-4.7402
3.9365,3.8927
6.3005,3.6432
4.2559,1.1049
3.5184,-5.4938
2.9112,5.5667
4.6806,-1.3996
4.7984,2.8197
3.8222,5.9783
-2.6644,-4.1767
4.1402,0.45969
1.6793,-5.4233
-4.4996,-3.603
3.4726,-4.254
0.2837,-5.4219
0.13562,-5.9235
4.0857,-1.8405
0.66478,-5.2415
1.4668,5.1665
-4.7464,-1.5266
3.1263,2.3025
4.5697,0.37936
-1.3484,-3.4834
5.2267,-4.5058
0.46099,-4.1441
4.5319,-2.5099
4.6516,0.13002
3.3836,3.6195
1.0136,-4.3969
5.1319,-3.2137
4.9166,-3.8697
0.25291,-4.137
3.4698,3.6285
4.8988,0.05133
-2.1688,-5.1494
-0.62356,-4.73
5.1506,0.60247
3.1187,3.559
2.191,5.4937
2.269,5.5978
6.4378,-1.4133
0.89345,-5.1638
-0.14118,-4.7988
2.1385,-3.697
5.33,3.5074
1.4488,-5.652
4.4138,2.7969
3.0263,2.8539
4.37,3.0743
4.4575,3.7435
3.1896,5.0114
4.6305,0.65792
4.5376,-0.2146
5.0988,-1.7647
4.4897,2.893
4.718,2.3653
-4.4688,-5.295
-0.38658,-3.0559
3.45,-5.3036
-9.1217,-4.3305
-8.0532,-6.157
-8.0255,-1.6717
-8.3827,-6.7226
-6.6646,-5.6747
-8.4726,-1.7887
-0.96445,1.1246
-1.8722,2.3336
-0.52989,-1.7756
0.88736,-1.2747
-0.11759,0.2336
-8.2035,-1.4214
-6.6431,-9.096
-5.5856,0.13024
-5.0677,1.5762
-4.5346,-8.3597
-7.1337,-7.3054
-6.8012,-4.2527
-6.0498,-9.9105
-8.8225,-4.286
